Booking_ID,number of adults,number of children,number of weekend nights,number of week nights,type of meal,car parking space,room type,lead time,market segment type,repeated,P-C,P-not-C,average price,special requests,date of reservation,booking status
INN25402,2,0,0,2,Meal Plan 1,0,Room_Type 1,87,Online,0,0,0,93.6,2,12/16/2018,Not_Canceled
INN25403,2,0,0,1,Meal Plan 1,0,Room_Type 1,107,Online,0,0,0,76.5,0,8/12/2017,Not_Canceled
INN25404,2,0,0,3,Meal Plan 1,0,Room_Type 4,40,Offline,0,0,0,75.0,0,10/28/2017,Not_Canceled
INN25405,1,0,1,1,Meal Plan 1,0,Room_Type 1,45,Online,0,0,0,86.4,0,11/19/2018,Canceled
INN25406,1,0,2,4,Meal Plan 1,0,Room_Type 1,69,Offline,0,0,0,120.0,0,6/12/2018,Canceled
INN25407,2,0,1,2,Meal Plan 1,0,Room_Type 1,57,Offline,0,0,0,90.67,1,6/10/2018,Not_Canceled
INN25408,2,2,2,1,Meal Plan 1,0,Room_Type 6,34,Online,0,0,0,207.9,0,9/17/2018,Canceled
INN25409,1,0,0,2,Meal Plan 1,0,Room_Type 1,192,Offline,0,0,0,95.0,0,6/24/2018,Not_Canceled
INN25410,1,0,0,1,Meal Plan 1,1,Room_Type 1,41,Corporate,1,1,11,88.0,1,12/20/2018,Not_Canceled
INN25411,1,0,0,1,Meal Plan 1,0,Room_Type 4,18,Online,0,0,0,156.0,0,5/13/2018,Canceled
INN25412,2,0,2,0,Meal Plan 1,0,Room_Type 4,53,Online,0,0,0,96.3,1,2/28/2018,Canceled
INN25413,2,0,1,3,Meal Plan 1,0,Room_Type 1,67,Online,0,0,0,75.95,0,3/10/2018,Not_Canceled
INN25414,2,0,0,3,Meal Plan 1,0,Room_Type 1,37,Offline,0,0,0,105.0,0,10/13/2018,Not_Canceled
INN25415,3,0,2,2,Meal Plan 1,0,Room_Type 4,204,Online,0,0,0,137.0,0,10/18/2017,Canceled
INN25416,2,0,1,1,Meal Plan 1,1,Room_Type 1,77,Online,0,0,0,125.1,1,6/18/2018,Not_Canceled
INN25417,2,0,0,1,Meal Plan 2,0,Room_Type 1,100,Offline,0,0,0,108.0,0,10/16/2017,Canceled
INN25418,2,0,2,1,Meal Plan 2,0,Room_Type 1,110,Offline,0,0,0,94.5,0,7/25/2017,Not_Canceled
INN25419,2,0,0,1,Not Selected,0,Room_Type 1,51,Online,0,0,0,107.1,0,7/6/2018,Canceled
INN25420,2,0,2,3,Meal Plan 1,1,Room_Type 4,136,Online,0,0,0,117.29,1,5/29/2018,Not_Canceled
INN25421,2,0,2,0,Meal Plan 1,0,Room_Type 4,3,Offline,0,0,0,78.2,0,12/6/2017,Not_Canceled
INN25422,2,1,0,1,Meal Plan 1,0,Room_Type 1,0,Online,0,0,0,138.0,0,3/31/2018,Not_Canceled
INN25423,2,0,2,7,Meal Plan 1,0,Room_Type 4,57,Online,0,0,0,114.66,1,4/21/2018,Not_Canceled
INN25424,2,0,1,1,Meal Plan 1,0,Room_Type 1,28,Online,0,0,0,94.35,0,6/13/2018,Canceled
INN25425,2,0,2,5,Meal Plan 1,0,Room_Type 1,188,Online,0,0,0,90.95,0,7/28/2018,Canceled
INN25426,2,0,0,4,Meal Plan 1,0,Room_Type 4,30,Online,0,0,0,144.8,1,10/4/2018,Not_Canceled
INN25427,3,0,2,1,Meal Plan 1,0,Room_Type 4,116,Offline,0,0,0,96.56,0,8/6/2018,Canceled
INN25428,2,1,0,3,Meal Plan 1,0,Room_Type 1,4,Online,0,0,0,147.33,2,12/28/2018,Not_Canceled
INN25429,2,1,2,3,Meal Plan 1,0,Room_Type 1,56,Online,0,0,0,115.09,2,4/24/2018,Not_Canceled
INN25430,2,0,1,1,Meal Plan 1,0,Room_Type 1,8,Online,0,0,0,82.39,1,11/7/2017,Not_Canceled
INN25431,3,0,0,3,Meal Plan 1,0,Room_Type 4,14,Online,0,0,0,186.0,2,5/12/2018,Not_Canceled
INN25432,2,0,1,1,Meal Plan 1,0,Room_Type 1,275,Offline,0,0,0,62.8,0,6/4/2018,Canceled
INN25433,2,0,1,3,Meal Plan 1,0,Room_Type 1,66,Online,0,0,0,118.8,1,10/17/2018,Not_Canceled
INN25434,1,0,0,1,Meal Plan 1,0,Room_Type 1,3,Complementary,0,0,0,0.0,0,10/1/2017,Not_Canceled
INN25435,2,0,0,3,Not Selected,0,Room_Type 1,70,Online,0,0,0,78.3,1,2/11/2018,Canceled
INN25436,1,0,0,3,Meal Plan 1,0,Room_Type 1,113,Corporate,0,0,0,100.0,0,5/31/2018,Canceled
INN25437,2,0,2,2,Meal Plan 1,0,Room_Type 1,64,Online,0,0,0,71.6,0,3/5/2018,Not_Canceled
INN25438,1,0,1,0,Meal Plan 1,0,Room_Type 1,13,Online,0,0,0,115.0,1,8/1/2018,Not_Canceled
INN25439,2,0,2,1,Not Selected,0,Room_Type 1,48,Online,0,0,0,88.5,1,4/17/2018,Not_Canceled
INN25440,2,1,2,2,Meal Plan 1,0,Room_Type 1,123,Online,0,0,0,135.15,2,6/17/2018,Canceled
INN25441,2,0,1,2,Meal Plan 1,0,Room_Type 2,43,Online,0,0,0,69.52,0,2/5/2018,Canceled
INN25442,3,0,1,2,Meal Plan 1,0,Room_Type 4,89,Online,0,0,0,137.7,0,7/25/2018,Canceled
INN25443,2,0,0,3,Not Selected,0,Room_Type 4,1,Online,0,0,0,121.33,1,9/3/2017,Not_Canceled
INN25444,2,0,1,3,Meal Plan 1,0,Room_Type 1,63,Online,0,0,0,99.9,3,6/20/2018,Not_Canceled
INN25445,2,0,1,3,Meal Plan 1,0,Room_Type 1,9,Online,0,0,0,155.0,1,10/17/2018,Not_Canceled
INN25446,2,0,0,3,Meal Plan 1,0,Room_Type 1,20,Online,0,0,0,136.67,2,9/29/2017,Not_Canceled
INN25447,2,0,1,0,Not Selected,0,Room_Type 1,1,Online,0,0,0,98.0,0,8/9/2017,Not_Canceled
INN25448,1,0,1,0,Meal Plan 1,0,Room_Type 1,6,Online,0,0,0,206.0,1,9/27/2017,Not_Canceled
INN25449,1,0,2,3,Meal Plan 1,0,Room_Type 1,5,Corporate,0,0,0,84.0,0,11/13/2018,Not_Canceled
INN25450,2,0,2,2,Meal Plan 1,0,Room_Type 1,215,Online,0,0,0,94.35,1,12/30/2018,Canceled
INN25451,2,0,1,2,Meal Plan 1,0,Room_Type 1,73,Online,0,0,0,76.5,0,7/13/2017,Canceled
INN25452,2,0,0,3,Not Selected,0,Room_Type 1,2,Online,0,0,0,84.0,1,1/6/2018,Not_Canceled
INN25453,1,0,0,1,Meal Plan 1,0,Room_Type 1,99,Corporate,0,0,0,81.0,0,2/19/2018,Not_Canceled
INN25454,2,0,0,2,Meal Plan 1,0,Room_Type 1,301,Offline,0,0,0,52.0,0,11/18/2018,Canceled
INN25455,0,2,0,1,Meal Plan 1,0,Room_Type 2,193,Online,0,0,0,86.5,0,7/15/2018,Canceled
INN25456,2,0,1,3,Meal Plan 1,0,Room_Type 4,184,Online,0,0,0,128.7,2,10/17/2018,Canceled
INN25457,2,1,0,3,Meal Plan 1,0,Room_Type 1,21,Online,0,0,0,139.0,0,5/31/2018,Canceled
INN25458,2,0,1,2,Meal Plan 1,0,Room_Type 1,60,Online,0,0,0,78.3,0,2/5/2018,Not_Canceled
INN25459,2,0,2,2,Meal Plan 1,0,Room_Type 1,15,Online,0,0,0,104.5,1,12/4/2017,Not_Canceled
INN25460,2,0,1,1,Not Selected,0,Room_Type 1,30,Online,0,0,0,82.08,0,10/17/2017,Not_Canceled
