Booking_ID,number of adults,number of children,number of weekend nights,number of week nights,type of meal,car parking space,room type,lead time,market segment type,repeated,P-C,P-not-C,average price,special requests,date of reservation,booking status
INN14518,2,0,0,2,Not Selected,0,Room_Type 1,52,Online,0,0,0,79.2,2,11/25/2018,Not_Canceled
INN14519,2,0,1,3,Meal Plan 1,0,Room_Type 1,210,Offline,0,0,0,72.75,0,10/8/2017,Not_Canceled
INN14520,2,0,0,1,Meal Plan 1,0,Room_Type 1,17,Offline,0,0,0,72.4,0,3/31/2018,Not_Canceled
INN14521,1,0,1,2,Meal Plan 1,0,Room_Type 1,6,Online,0,0,0,92.0,0,2/22/2018,Canceled
INN14522,2,0,1,3,Meal Plan 1,0,Room_Type 1,49,Online,0,0,0,118.8,2,10/3/2018,Not_Canceled
INN14523,2,2,2,3,Meal Plan 1,0,Room_Type 6,42,Online,0,0,0,182.34,1,9/4/2018,Canceled
INN14524,2,0,0,2,Meal Plan 1,0,Room_Type 1,48,Offline,0,0,0,130.0,0,9/14/2018,Not_Canceled
INN14525,2,0,2,1,Meal Plan 1,0,Room_Type 1,119,Online,0,0,0,72.25,3,12/26/2017,Not_Canceled
INN14526,1,0,1,2,Meal Plan 1,0,Room_Type 1,41,Online,0,0,0,96.9,2,10/16/2017,Not_Canceled
INN14527,2,0,2,0,Not Selected,0,Room_Type 1,135,Online,0,0,0,94.5,2,5/22/2018,Not_Canceled
INN14528,2,0,1,0,Meal Plan 1,0,Room_Type 1,13,Offline,0,0,0,85.0,1,3/20/2018,Not_Canceled
INN14529,2,0,2,4,Meal Plan 1,0,Room_Type 4,18,Online,0,0,0,96.9,1,11/13/2018,Not_Canceled
INN14530,2,0,2,1,Not Selected,0,Room_Type 1,34,Online,0,0,0,108.0,0,10/2/2018,Canceled
INN14531,2,0,2,5,Meal Plan 1,0,Room_Type 1,49,Online,0,0,0,119.85,0,5/7/2018,Canceled
INN14532,2,0,1,2,Meal Plan 1,0,Room_Type 1,28,Offline,0,0,0,87.0,1,3/7/2018,Not_Canceled
INN14533,2,0,1,1,Meal Plan 1,0,Room_Type 1,15,Online,0,0,0,111.0,1,5/9/2018,Not_Canceled
INN14534,2,0,0,2,Meal Plan 1,0,Room_Type 1,79,Offline,0,0,0,75.0,0,11/13/2017,Not_Canceled
INN14535,2,0,1,3,Meal Plan 2,0,Room_Type 1,228,Online,0,0,0,123.25,3,10/20/2018,Not_Canceled
INN14536,2,0,0,1,Meal Plan 1,1,Room_Type 1,31,Online,0,0,0,89.3,1,2/5/2018,Not_Canceled
